attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,label,delta_mean,delta_std,delta_max,delta_min,delta_p2p,theta_mean,theta_std,theta_max,theta_min,theta_p2p,low_alpha_mean,low_alpha_std,low_alpha_max,low_alpha_min,low_alpha_p2p,high_alpha_mean,high_alpha_std,high_alpha_max,high_alpha_min,high_alpha_p2p,low_beta_mean,low_beta_std,low_beta_max,low_beta_min,low_beta_p2p,high_beta_mean,high_beta_std,high_beta_max,high_beta_min,high_beta_p2p,low_gamma_mean,low_gamma_std,low_gamma_max,low_gamma_min,low_gamma_p2p,mid_gamma_mean,mid_gamma_std,mid_gamma_max,mid_gamma_min,mid_gamma_p2p
78,88,76510,39293,1352,65188,711,48425,644,194618,L,28875.333333333332,41255.87354951571,76510.0,4557.0,71953.0,19507.666666666668,17394.728233959082,39293.0,6618.0,32675.0,5385.333333333333,4015.6187983088544,9383.0,1352.0,8031.0,24439.333333333332,35310.393658713765,65188.0,2847.0,62341.0,3389.3333333333335,3698.2945168460656,7609.0,711.0,6898.0,17555.333333333332,26733.977375866343,48425.0,2063.0,46362.0,1094.0,392.187455179285,1363.0,644.0,719.0,162084.33333333334,28186.49375735357,194618.0,145012.0,49606.0
80,87,569596,846010,79419,155605,1279,194642,5545,752246,L,216887.66666666666,307565.74070324143,569596.0,4557.0,565039.0,299305.0,473648.3259856409,846010.0,12612.0,833398.0,30051.333333333332,42941.810911200904,79419.0,1352.0,78067.0,75358.66666666667,75675.3445075299,155605.0,5283.0,150322.0,3199.6666666666665,3829.141069918119,7609.0,711.0,6898.0,81748.33333333333,100466.07005518497,194642.0,2178.0,192464.0,2488.0,2666.172725087405,5545.0,644.0,4901.0,363958.6666666667,337180.1873321345,752246.0,145012.0,607234.0
80,88,89217,128202,1327,59414,771,44638,394,194547,L,245107.66666666666,281086.9541873716,569596.0,76510.0,493086.0,337835.0,442331.97435749543,846010.0,39293.0,806717.0,27366.0,45079.222076251484,79419.0,1327.0,78092.0,93402.33333333333,53946.395378498964,155605.0,59414.0,96191.0,920.3333333333334,312.05982332512895,1279.0,711.0,568.0,95901.66666666667,85532.59853607473,194642.0,44638.0,150004.0,2194.3333333333335,2904.4535343732623,5545.0,394.0,5151.0,380470.3333333333,321967.17379933834,752246.0,194547.0,557699.0
57,74,509563,1064783,13615,337519,4864,160085,3507,755596,L,389458.6666666667,261743.73741186908,569596.0,89217.0,480379.0,679665.0,489947.9428051516,1064783.0,128202.0,936581.0,31453.666666666668,41991.11379010246,79419.0,1327.0,78092.0,184179.33333333334,141237.27252511404,337519.0,59414.0,278105.0,2304.6666666666665,2230.9541307103764,4864.0,771.0,4093.0,133121.66666666666,78552.95037319307,194642.0,44638.0,150004.0,3148.6666666666665,2594.128434240165,5545.0,394.0,5151.0,567463.0,322959.07313001755,755596.0,194547.0,561049.0
51,67,274614,337442,2251,230188,3476,152303,3775,761740,L,291131.3333333333,210659.21924837166,509563.0,89217.0,420346.0,510142.3333333333,491594.39199438936,1064783.0,128202.0,936581.0,5731.0,6843.357070911721,13615.0,1327.0,12288.0,209040.33333333334,140253.3978566414,337519.0,59414.0,278105.0,3037.0,2081.514592790631,4864.0,771.0,4093.0,119008.66666666667,64524.31267617915,160085.0,44638.0,115447.0,2558.6666666666665,1879.4393667616237,3775.0,394.0,3381.0,570627.6666666666,325709.8986281095,761740.0,194547.0,567193.0
54,77,849449,369577,9849,343270,6814,156829,1171,779686,L,544542.0,289009.4585597504,849449.0,274614.0,574835.0,590600.6666666666,410968.1599471343,1064783.0,337442.0,727341.0,8571.666666666666,5788.679411863388,13615.0,2251.0,11364.0,303659.0,63692.694879397306,343270.0,230188.0,113082.0,5051.333333333333,1676.8665222174511,6814.0,3476.0,3338.0,156405.66666666666,3908.2335310641065,160085.0,152303.0,7782.0,2817.6666666666665,1432.3370180698857,3775.0,1171.0,2604.0,765674.0,12517.559346775464,779686.0,755596.0,24090.0
64,84,95020,19922,1516,59277,616,40915,511,193448,L,406361.0,394092.28997406195,849449.0,95020.0,754429.0,242313.66666666666,193265.89095940653,369577.0,19922.0,349655.0,4538.666666666667,4613.543793368681,9849.0,1516.0,8333.0,210911.66666666666,142974.43401648192,343270.0,59277.0,283993.0,3635.3333333333335,3102.070491354713,6814.0,616.0,6198.0,116682.33333333333,65655.44736983623,156829.0,40915.0,115914.0,1819.0,1725.7902537678217,3775.0,511.0,3264.0,578291.3333333334,333404.871196168,779686.0,193448.0,586238.0
78,91,154697,265374,6200,257405,2591,168251,2551,787961,L,366388.6666666667,419405.29361505853,849449.0,95020.0,754429.0,218291.0,179519.52936379897,369577.0,19922.0,349655.0,5855.0,4177.198941874503,9849.0,1516.0,8333.0,219984.0,145647.7066177151,343270.0,59277.0,283993.0,3340.3333333333335,3166.2164065858915,6814.0,616.0,6198.0,121998.33333333333,70452.08108589365,168251.0,40915.0,127336.0,1411.0,1040.9610943738503,2551.0,511.0,2040.0,587031.6666666666,340878.56475045974,787961.0,193448.0,594513.0
78,91,100724,102835,10101,42096,530,44436,851,189608,L,116813.66666666667,32931.65820807663,154697.0,95020.0,59677.0,129377.0,124860.03923994192,265374.0,19922.0,245452.0,5939.0,4298.447045154502,10101.0,1516.0,8585.0,119592.66666666667,119657.74569301124,257405.0,42096.0,215309.0,1245.6666666666667,1165.886072193037,2591.0,530.0,2061.0,84534.0,72522.42016783501,168251.0,40915.0,127336.0,1304.3333333333333,1092.9470862458704,2551.0,511.0,2040.0,390339.0,344356.10574374907,787961.0,189608.0,598353.0
77,90,50138,149785,6991,61494,1558,49698,653,195897,L,101853.0,52288.64217973396,154697.0,50138.0,104559.0,172664.66666666666,83650.11052194248,265374.0,102835.0,162539.0,7764.0,2062.1825816347223,10101.0,6200.0,3901.0,120331.66666666667,119104.55337363618,257405.0,42096.0,215309.0,1559.6666666666667,1030.5010108358472,2591.0,530.0,2061.0,87461.66666666667,70015.06585252445,168251.0,44436.0,123815.0,1351.6666666666667,1043.3605960229368,2551.0,653.0,1898.0,391155.3333333333,343658.17421433964,787961.0,189608.0,598353.0
